user,video,rating
0,3139,1
0,287,1
0,763,1
0,330,1
0,3110,1
0,2414,1
0,1139,1
0,2906,1
0,947,1
0,1232,1
0,4526,1
0,2242,1
0,2407,1
0,4265,1
0,3527,1
0,3973,1
0,54,1
0,5064,1
0,1944,1
0,3817,1
0,3204,0
0,4550,0
0,1103,0
0,5333,0
0,3261,0
0,3492,0
0,4821,0
0,1243,0
0,4054,0
0,1095,0
0,1571,0
0,1043,0
0,2439,0
0,1971,0
0,2895,0
0,335,0
0,1592,0
0,5065,0
0,4042,0
0,666,0
0,5237,0
0,5437,0
0,4691,0
0,452,0
0,4456,0
0,921,0
0,1598,0
0,2871,0
0,3851,0
0,2019,0
0,3842,0
0,3039,0
0,4202,0
0,220,0
0,5189,0
0,3851,0
0,3710,0
0,2770,0
0,4802,0
0,2678,0
0,395,0
0,3166,0
0,1145,0
0,400,0
0,3505,0
0,488,0
0,3361,0
0,1930,0
0,2844,0
0,224,0
0,1216,0
0,4766,0
0,4462,0
0,1536,0
0,2816,0
0,4628,0
0,4057,0
0,1624,0
0,1157,0
0,1592,0
0,4106,0
0,4721,0
0,1696,0
0,2213,0
0,2189,0
0,3823,0
0,2443,0
0,863,0
0,3659,0
0,2019,0
0,2213,0
0,5066,0
0,2816,0
0,5174,0
0,2071,0
0,5121,0
0,1641,0
0,4181,0
0,1571,0
0,3765,0
0,3783,0
0,1259,0
0,2019,0
0,2816,0
0,1864,0
0,3851,0
0,4977,0
0,3173,0
0,2133,0
1,4549,1
1,281,1
1,1398,1
1,2110,1
1,892,1
1,4530,1
1,3671,1
1,572,1
1,3847,1
1,2776,1
1,5363,1
1,5064,1
1,4504,1
1,2489,1
1,922,1
1,4870,1
1,243,1
1,3147,1
1,3405,1
1,1213,1
1,2955,0
1,3339,0
1,4858,0
1,4181,0
1,1972,0
1,4477,0
1,4441,0
1,3713,0
1,1620,0
1,323,0
1,1489,0
1,4181,0
1,5218,0
1,4896,0
1,5204,0
1,857,0
1,4647,0
1,4181,0
1,600,0
1,2647,0
1,2686,0
1,2562,0
1,1545,0
1,1410,0
1,235,0
1,5053,0
1,809,0
1,2589,0
1,3292,0
1,4897,0
1,4768,0
1,1739,0
1,404,0
1,700,0
1,1993,0
1,1329,0
1,5349,0
1,1258,0
1,4181,0
1,4010,0
1,1257,0
1,4386,0
1,1766,0
1,3945,0
1,3851,0
1,3781,0
1,3842,0
1,4181,0
1,4278,0
1,3771,0
1,5121,0
1,4200,0
1,5189,0
1,3659,0
1,254,0
1,2730,0
1,1129,0
1,4117,0
1,1257,0
1,2274,0
1,1850,0
1,3753,0
1,1700,0
1,3618,0
1,799,0
1,386,0
1,5068,0
1,5068,0
1,545,0
